New head: (9,18)Removed tail: (9,21)Current head: (9,18)
Snake has been reversed.New head: (9,21)Removed tail: (9,18)Current head: (9,21)
New head: (9,22)Removed tail: (9,17)Current head: (9,22)
New head: (9,23)Removed tail: (9,18)Current head: (9,23)
New head: (9,22)Removed tail: (9,19)Current head: (9,22)
Snake has been reversed.New head: (9,19)Removed tail: (9,22)Current head: (9,19)
New head: (9,18)Removed tail: (9,23)Current head: (9,18)
New head: (9,17)Removed tail: (9,22)Current head: (9,17)
New head: (9,16)Removed tail: (9,21)Current head: (9,16)
New head: (9,15)Removed tail: (9,20)Current head: (9,15)
New head: (9,14)Removed tail: (9,19)Current head: (9,14)
New head: (9,13)Removed tail: (9,18)Current head: (9,13)
New head: (9,12)Removed tail: (9,17)Current head: (9,12)
New head: (9,11)Removed tail: (9,16)Current head: (9,11)
New head: (9,10)Removed tail: (9,15)Current head: (9,10)
New head: (9,9)Removed tail: (9,14)Current head: (9,9)
New head: (9,8)Removed tail: (9,13)Current head: (9,8)
New head: (10,8)Removed tail: (9,12)Current head: (10,8)
New head: (11,8)Removed tail: (9,11)Current head: (11,8)
New head: (11,7)Removed tail: (9,10)Current head: (11,7)
New head: (11,6)Removed tail: (9,9)Current head: (11,6)
New head: (12,6)Removed tail: (9,8)Current head: (12,6)
New head: (12,5)Removed tail: (10,8)Current head: (12,5)
New head: (12,4)Removed tail: (11,8)Current head: (12,4)
New head: (12,3)Removed tail: (11,7)Current head: (12,3)
New head: (12,2)Removed tail: (11,6)Current head: (12,2)
New head: (12,1)Current head: (12,1)
New head: (12,0)Removed tail: (12,6)Current head: (12,0)
New head: (12,58)Removed tail: (12,5)Current head: (12,58)
New head: (12,57)Removed tail: (12,4)Current head: (12,57)
New head: (11,57)Removed tail: (12,3)Current head: (11,57)
New head: (10,57)Removed tail: (12,2)Current head: (10,57)
New head: (9,57)Removed tail: (12,1)Current head: (9,57)
New head: (8,57)Removed tail: (12,0)Current head: (8,57)
New head: (8,56)Removed tail: (12,58)Current head: (8,56)
New head: (8,55)Removed tail: (12,57)Current head: (8,55)
New head: (8,54)Removed tail: (11,57)Current head: (8,54)
New head: (7,54)Removed tail: (10,57)Current head: (7,54)
New head: (6,54)Removed tail: (9,57)Current head: (6,54)
New head: (6,55)Removed tail: (8,57)Current head: (6,55)
New head: (6,56)Removed tail: (8,56)Current head: (6,56)
New head: (6,57)Removed tail: (8,55)Current head: (6,57)
New head: (6,58)Removed tail: (8,54)Current head: (6,58)
New head: (6,59)Removed tail: (7,54)Current head: (6,59)
New head: (6,60)Removed tail: (6,54)Current head: (6,60)
New head: (6,2)Removed tail: (6,55)Current head: (6,2)
New head: (5,2)Removed tail: (6,56)Current head: (5,2)
New head: (4,2)Removed tail: (6,57)Current head: (4,2)
New head: (4,1)Removed tail: (6,58)Current head: (4,1)
New head: (4,0)Removed tail: (6,59)Current head: (4,0)
New head: (4,58)Removed tail: (6,60)Current head: (4,58)
New head: (4,57)Removed tail: (6,2)Current head: (4,57)
New head: (4,56)Removed tail: (5,2)Current head: (4,56)
New head: (3,56)Removed tail: (4,2)Current head: (3,56)
New head: (2,56)Removed tail: (4,1)Current head: (2,56)
New head: (2,57)Removed tail: (4,0)Current head: (2,57)
New head: (2,58)Removed tail: (4,58)Current head: (2,58)
New head: (2,59)Removed tail: (4,57)Current head: (2,59)
New head: (2,60)Removed tail: (4,56)Current head: (2,60)
New head: (2,2)Removed tail: (3,56)Current head: (2,2)
New head: (2,3)Removed tail: (2,56)Current head: (2,3)
New head: (2,4)Removed tail: (2,57)Current head: (2,4)
New head: (2,5)Removed tail: (2,58)Current head: (2,5)
New head: (2,6)Removed tail: (2,59)Current head: (2,6)
New head: (2,7)Removed tail: (2,60)Current head: (2,7)
